fr-be	dddd d MMMM yyyy	d MMMM yyyy	d/MM/yyyy	d MMM yyyy	dd/MM/yyyy	d/MM/yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
fr-bf	=	br
fr-bi	=	br
fr-bj	=	br
fr-bl	=	br
fr-ca	dddd d MMMM yyyy	d MMMM yyyy	yyyy-MM-dd	d MMM yyyy	MMMM yyyy	d MMMM	HH 'h' mm 'min' ss 's'	HH 'h' mm
fr-cd	=	br
fr-cf	=	br
fr-cg	=	br
fr-ch	dddd, d MMMM yyyy	d MMMM yyyy	dd.MM.yyyy	d MMM yyyy	dd.MM.yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
fr-ci	=	br
fr-cm	=	br
fr-dj	dddd d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
fr-dz	=	fr-dj
fr-fr	=	br
fr-ga	=	br
fr-gf	=	br
fr-gn	=	br
fr-gp	=	br
fr-gq	=	br
fr-ht	=	br
fr-km	=	br
fr-lu	=	br
fr-ma	=	br
fr-mc	=	br
fr-mf	=	br
fr-mg	=	br
fr-ml	=	br
fr-mq	=	br
fr-mr	=	fr-dj
fr-mu	=	br
fr-nc	=	br
fr-ne	=	br
fr-pf	=	br
fr-pm	=	br
fr-re	=	br
fr-rw	=	br
fr-sc	=	br
fr-sn	=	br
fr-sy	=	fr-dj
fr-td	=	fr-dj
fr-tg	=	br
fr-tn	=	fr-dj
fr-vu	=	fr-dj
fr-wf	=	br
fr-yt	=	br
fur	dddd d 'di' MMMM 'dal' yyyy	d 'di' MMMM 'dal' yyyy	dd/MM/yyyy	dd/MM/yy	yyyy-MM-dd	MMMM 'dal' yyyy	d 'di' MMMM	HH:mm:ss	HH:mm
fur-it	=	fur
fy	dddd d MMMM yyyy	d MMMM yyyy	dd-MM-yyyy	d MMM yyyy	d-M-yyyy	dd-MM-yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
fy-nl	=	fy
ga	=	br
ga-gb	=	br
ga-ie	=	br
gaa	yyyy MMMM d, dddd	yyyy MMMM d	yyyy-MM-dd	yyyy MMM d	M/d/yyyy	yyyy MMMM	MMMM d	h:mm:ss tt	h:mm tt
gaa-gh	=	gaa
gd	dddd, d'mh' MMMM yyyy	d'mh' MMMM yyyy	dd/MM/yyyy	d'mh' MMM yyyy	d/M/yyyy	MMMM yyyy	d'mh' MMMM	HH:mm:ss	HH:mm
gd-gb	=	gd
gl	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	dd/MM/yyyy	d 'de' MMM 'de' yyyy	d/M/yyyy	dd/MM/yy	MMMM 'de' yyyy	d 'de' MMMM	HH:mm:ss	HH:mm
gl-es	=	gl
gsw	dddd, d. MMMM yyyy	d. MMMM yyyy	dd.MM.yyyy	dd.MM.yy	yyyy-MM-dd	MMMM yyyy	d. MMMM	HH:mm:ss	HH:mm
gsw-ch	=	gsw
gsw-fr	=	gsw
gsw-li	=	gsw
gu	dddd, d MMMM, yyyy	d MMMM, yyyy	d/M/yyyy	d MMM, yyyy	d/M/yy	MMMM yyyy	d MMMM	hh:mm:ss tt	hh:mm tt
gu-in	=	gu
guz	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	yyyy-MM-dd	MMMM yyyy	MMMM d	HH:mm:ss	HH:mm
guz-ke	=	guz
gv	=	ce
gv-im	=	ce
