en-FJ	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-FK	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-FM	3	.	,	3	1	US$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GB	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GD	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GG	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GH	3	.	,	3	1	GH₵	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GI	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GM	3	.	,	3	1	D	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GU	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-GY	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-HK	3	.	,	3	1	HK$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-ID	3	,	.	3	1	Rp	2	,	.	3	0	1	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
en-IE	3	.	,	3	1	€	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-IL	3	.	,	3	1	₪	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-IM	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-IN	3	.	,	3,2	1	₹	2	.	,	3,2	0	1	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
en-IO	3	.	,	3	1	US$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-JE	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-JM	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-KE	3	.	,	3	1	Ksh	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-KI	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-KN	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-KY	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-LC	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-LR	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-LS	3	.	,	3	1	R	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MG	3	.	,	3	1	Ar	0	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MH	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MO	3	.	,	3	1	MOP$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MP	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MS	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MT	3	.	,	3	1	€	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MU	3	.	,	3	1	Rs	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MV	3	.	,	3	1	Rf	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MW	3	.	,	3	1	MK	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-MY	3	.	,	3	1	RM	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-NA	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-NF	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-NG	3	.	,	3	1	₦	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
